Overall Batchwise Metrics
============================================================
Batch      | Base SRCC  | Base PLCC  | TTA SRCC   | TTA PLCC  
------------------------------------------------------------
Batch 1    |     0.5952 |     0.8072 |     0.5952 |     0.8072
Batch 2    |     0.5476 |     0.6826 |     0.5476 |     0.6826
Batch 3    |     0.7619 |     0.7397 |     0.7619 |     0.7397
Batch 4    |     0.6190 |     0.5915 |     0.6190 |     0.5915
Batch 5    |     0.6905 |     0.6044 |     0.6905 |     0.6044
Batch 6    |     0.7143 |     0.6476 |     0.7143 |     0.6476
Batch 7    |     0.6190 |     0.5421 |     0.6190 |     0.5421
Batch 8    |    -0.1905 |    -0.0637 |    -0.1905 |    -0.0637
Batch 9    |     0.4286 |     0.3514 |     0.4286 |     0.3514
Batch 10   |     0.7143 |     0.6206 |     0.7143 |     0.6206
Batch 11   |     0.1905 |     0.5765 |     0.1905 |     0.5765
Batch 12   |     0.4762 |     0.8716 |     0.4762 |     0.8716
Batch 13   |     0.8095 |     0.8554 |     0.8095 |     0.8554
Batch 14   |     0.6429 |     0.5920 |     0.6429 |     0.5920
Batch 15   |     0.3571 |     0.3405 |     0.3571 |     0.3405
Batch 16   |     0.2857 |     0.3592 |     0.2857 |     0.3592
Batch 17   |     0.7143 |     0.6193 |     0.7143 |     0.6193
Batch 18   |     0.5000 |     0.5718 |     0.5000 |     0.5718
Batch 19   |    -0.2381 |    -0.2148 |    -0.2381 |    -0.2148
Batch 20   |     0.5952 |     0.3774 |     0.5952 |     0.3774
Batch 21   |     0.4524 |     0.6888 |     0.4524 |     0.6888
Batch 22   |     0.7143 |     0.8120 |     0.7143 |     0.8120
Batch 23   |    -0.0476 |     0.2072 |    -0.0476 |     0.2072
Batch 24   |     0.8810 |     0.8715 |     0.8810 |     0.8715
Batch 25   |     0.3810 |     0.5938 |     0.3810 |     0.5938
Batch 26   |     0.7143 |     0.8134 |     0.7143 |     0.8134
Batch 27   |     0.9048 |     0.9344 |     0.9048 |     0.9344
Batch 28   |     0.6190 |     0.8048 |     0.6190 |     0.8048
Batch 29   |     0.8095 |     0.7492 |     0.8095 |     0.7492
Batch 30   |     0.8333 |     0.9185 |     0.8333 |     0.9185
Batch 31   |     0.7381 |     0.8613 |     0.7381 |     0.8613
Batch 32   |     0.7143 |     0.6708 |     0.7143 |     0.6708
Batch 33   |     0.8095 |     0.8274 |     0.8095 |     0.8274
Batch 34   |     0.9048 |     0.8339 |     0.9048 |     0.8339
Batch 35   |     0.4762 |     0.6671 |     0.4762 |     0.6671
Batch 36   |     0.7143 |     0.7547 |     0.7143 |     0.7547
Batch 37   |     0.5952 |     0.6956 |     0.5952 |     0.6956
Batch 38   |     0.4524 |     0.5790 |     0.4524 |     0.5790
Batch 39   |     0.6905 |     0.6952 |     0.6905 |     0.6952
Batch 40   |     0.8571 |     0.8736 |     0.8571 |     0.8736
Batch 41   |     0.2143 |     0.5080 |     0.2143 |     0.5080
Batch 42   |     0.7857 |     0.8355 |     0.7857 |     0.8355
Batch 43   |     0.8571 |     0.8724 |     0.8571 |     0.8724
Batch 44   |     0.2143 |     0.4934 |     0.2143 |     0.4934
Batch 45   |     0.7381 |     0.8845 |     0.7381 |     0.8845
Batch 46   |     0.6190 |     0.6999 |     0.6190 |     0.6999
Batch 47   |     0.5952 |     0.7512 |     0.5952 |     0.7512
Batch 48   |     0.4762 |     0.5857 |     0.4762 |     0.5857
Batch 49   |     0.3333 |     0.6480 |     0.3333 |     0.6480
Batch 50   |     0.7381 |     0.7364 |     0.7381 |     0.7364
Batch 51   |     0.7619 |     0.8319 |     0.7619 |     0.8319
Batch 52   |     0.9762 |     0.9139 |     0.9762 |     0.9139
Batch 53   |     0.7857 |     0.7843 |     0.7857 |     0.7843
Batch 54   |     0.6905 |     0.8275 |     0.6905 |     0.8275
Batch 55   |     0.5714 |     0.6506 |     0.5714 |     0.6506
Batch 56   |     0.5000 |     0.5066 |     0.5000 |     0.5066
Batch 57   |    -0.0952 |     0.0057 |    -0.0952 |     0.0057
Batch 58   |     0.3333 |     0.5968 |     0.3333 |     0.5968
Batch 59   |     0.5000 |     0.5752 |     0.5000 |     0.5752
Batch 60   |     0.4762 |     0.3692 |     0.4762 |     0.3692
Batch 61   |    -0.1905 |     0.0051 |    -0.1905 |     0.0051
Batch 62   |     0.2857 |     0.5741 |     0.2857 |     0.5741
Batch 63   |     0.5714 |     0.5930 |     0.5714 |     0.5930
Batch 64   |     0.7143 |     0.5114 |     0.7143 |     0.5114
Batch 65   |     0.8333 |     0.9323 |     0.8333 |     0.9323
Batch 66   |     0.9524 |     0.9330 |     0.9524 |     0.9330
Batch 67   |     0.5238 |     0.8125 |     0.5238 |     0.8125
Batch 68   |     0.7381 |     0.8448 |     0.7381 |     0.8448
Batch 69   |     1.0000 |     0.9678 |     1.0000 |     0.9678
Batch 70   |     0.9048 |     0.8458 |     0.9048 |     0.8458
Batch 71   |     0.9048 |     0.8721 |     0.9048 |     0.8721
Batch 72   |     0.6429 |     0.6457 |     0.6429 |     0.6457
Batch 73   |     0.9286 |     0.9002 |     0.9286 |     0.9002
Batch 74   |     0.7857 |     0.7659 |     0.7857 |     0.7659
Batch 75   |     0.8571 |     0.8471 |     0.8571 |     0.8471
Batch 76   |     0.8810 |     0.8645 |     0.8810 |     0.8645
Batch 77   |     0.9048 |     0.7438 |     0.9048 |     0.7438
Batch 78   |     0.4048 |     0.6493 |     0.4048 |     0.6493
Batch 79   |     0.4762 |     0.6372 |     0.4762 |     0.6372
Batch 80   |     0.7619 |     0.8514 |     0.7619 |     0.8514
Batch 81   |     0.8333 |     0.8395 |     0.8333 |     0.8395
Batch 82   |     0.9048 |     0.9293 |     0.9048 |     0.9293
Batch 83   |     0.4286 |     0.5026 |     0.4286 |     0.5026
Batch 84   |     0.5952 |     0.7287 |     0.5952 |     0.7287
Batch 85   |     0.6905 |     0.7469 |     0.6905 |     0.7469
Batch 86   |     0.6190 |     0.7867 |     0.6190 |     0.7867
Batch 87   |     0.5238 |     0.6772 |     0.5238 |     0.6772
Batch 88   |     0.8095 |     0.7989 |     0.8095 |     0.7989
Batch 89   |     0.7143 |     0.9096 |     0.7143 |     0.9096
Batch 90   |     0.8333 |     0.8140 |     0.8333 |     0.8140
Batch 91   |     0.7619 |     0.8108 |     0.7619 |     0.8108
Batch 92   |     0.9524 |     0.9100 |     0.9524 |     0.9100
Batch 93   |     0.6190 |     0.5442 |     0.6190 |     0.5442
Batch 94   |     0.5952 |     0.7622 |     0.5952 |     0.7622
Batch 95   |     0.3333 |     0.8564 |     0.3333 |     0.8564
Batch 96   |     0.6190 |     0.6300 |     0.6190 |     0.6300
Batch 97   |     0.4286 |     0.9650 |     0.4286 |     0.9650
Batch 98   |     0.8095 |     0.6426 |     0.8095 |     0.6426
Batch 99   |     0.9524 |     0.9424 |     0.9524 |     0.9424
Batch 100  |     0.7143 |     0.6843 |     0.7143 |     0.6843
Batch 101  |     0.9524 |     0.9291 |     0.9524 |     0.9291
Batch 102  |     0.6667 |     0.8949 |     0.6667 |     0.8949
Batch 103  |     0.8571 |     0.9144 |     0.8571 |     0.9144
Batch 104  |     0.5714 |     0.5674 |     0.5714 |     0.5674
Batch 105  |     0.8810 |     0.7007 |     0.8810 |     0.7007
Batch 106  |     0.2381 |     0.2112 |     0.2381 |     0.2112
Batch 107  |     0.8095 |     0.7499 |     0.8095 |     0.7499
Batch 108  |     0.7381 |     0.8470 |     0.7381 |     0.8470
Batch 109  |     0.5476 |     0.5772 |     0.5476 |     0.5772
Batch 110  |     0.8571 |     0.8107 |     0.8571 |     0.8107
Batch 111  |     0.5238 |     0.6668 |     0.5238 |     0.6668
Batch 112  |     0.9524 |     0.9129 |     0.9524 |     0.9129
Batch 113  |     0.7143 |     0.7602 |     0.7143 |     0.7602
Batch 114  |     0.6190 |     0.7877 |     0.6190 |     0.7877
Batch 115  |     0.9524 |     0.8889 |     0.9524 |     0.8889
Batch 116  |     0.5238 |     0.5297 |     0.5238 |     0.5297
Batch 117  |     0.8571 |     0.9522 |     0.8571 |     0.9522
Batch 118  |     0.4762 |     0.3900 |     0.4762 |     0.3900
Batch 119  |     0.4762 |     0.5048 |     0.4762 |     0.5048
Batch 120  |     0.5952 |     0.5036 |     0.5952 |     0.5036
Batch 121  |     0.6190 |     0.5871 |     0.6190 |     0.5871
Batch 122  |     0.4762 |     0.5289 |     0.4762 |     0.5289
Batch 123  |     0.5000 |     0.4707 |     0.5000 |     0.4707
Batch 124  |     0.6905 |     0.8069 |     0.6905 |     0.8069
Batch 125  |     0.6905 |     0.7655 |     0.6905 |     0.7655
Batch 126  |     0.3095 |     0.4657 |     0.3095 |     0.4657
Batch 127  |     0.7619 |     0.7794 |     0.7619 |     0.7794
Batch 128  |     0.4048 |     0.6318 |     0.4048 |     0.6318
Batch 129  |     0.7381 |     0.7573 |     0.7381 |     0.7573
Batch 130  |     0.7619 |     0.5940 |     0.7619 |     0.5940
Batch 131  |     0.8095 |     0.8625 |     0.8095 |     0.8625
Batch 132  |     0.6905 |     0.6585 |     0.6905 |     0.6585
